Time: 2024-11-09 21:20:25, GPIO 27 State: HIGH
Time: 2024-11-09 21:20:26, GPIO 27 State: LOW
Time: 2024-11-09 21:20:27, GPIO 27 State: LOW
Time: 2024-11-09 21:20:28, GPIO 27 State: LOW
Time: 2024-11-09 21:20:29, GPIO 27 State: LOW
Time: 2024-11-09 21:20:30, GPIO 27 State: LOW
Time: 2024-11-09 21:20:31, GPIO 27 State: LOW
Time: 2024-11-09 21:20:32, GPIO 27 State: HIGH
Time: 2024-11-09 21:20:33, GPIO 27 State: HIGH
Time: 2024-11-09 21:20:34, GPIO 27 State: LOW
Time: 2024-11-09 21:20:35, GPIO 27 State: LOW
Time: 2024-11-09 21:20:36, GPIO 27 State: LOW
Time: 2024-11-09 21:20:37, GPIO 27 State: LOW
Time: 2024-11-09 21:20:38, GPIO 27 State: HIGH
Time: 2024-11-09 21:20:39, GPIO 27 State: HIGH
Time: 2024-11-09 21:20:40, GPIO 27 State: HIGH
Time: 2024-11-09 21:20:41, GPIO 27 State: LOW
Time: 2024-11-09 21:20:42, GPIO 27 State: LOW
Time: 2024-11-09 21:20:43, GPIO 27 State: LOW
Time: 2024-11-09 22:00:01, GPIO 27 State: LOW
Time: 2024-11-09 22:00:02, GPIO 27 State: LOW
Time: 2024-11-09 22:00:03, GPIO 27 State: LOW
Time: 2024-11-09 22:00:04, GPIO 27 State: LOW
Time: 2024-11-09 22:00:05, GPIO 27 State: HIGH
Time: 2024-11-09 22:00:06, GPIO 27 State: HIGH
Time: 2024-11-09 22:00:07, GPIO 27 State: HIGH
Time: 2024-11-09 22:00:08, GPIO 27 State: HIGH
Time: 2024-11-09 22:00:09, GPIO 27 State: LOW
Time: 2024-11-09 22:00:10, GPIO 27 State: LOW
Time: 2024-11-09 22:00:11, GPIO 27 State: LOW
Time: 2024-11-09 22:00:12, GPIO 27 State: LOW
Time: 2024-11-09 22:00:13, GPIO 27 State: HIGH
Time: 2024-11-09 22:51:42, GPIO 27 State: LOW
Time: 2024-11-09 22:51:43, GPIO 27 State: LOW
Time: 2024-11-09 22:51:44, GPIO 27 State: LOW
Time: 2024-11-09 22:51:45, GPIO 27 State: LOW
Time: 2024-11-09 22:51:46, GPIO 27 State: HIGH
Time: 2024-11-09 22:51:47, GPIO 27 State: LOW
Time: 2024-11-09 22:51:48, GPIO 27 State: LOW
Time: 2024-11-09 22:51:49, GPIO 27 State: LOW
Time: 2024-11-09 22:51:50, GPIO 27 State: LOW
Time: 2024-11-09 22:51:51, GPIO 27 State: LOW
Time: 2024-11-09 22:51:52, GPIO 27 State: LOW
Time: 2024-11-09 22:51:53, GPIO 27 State: HIGH
