Time: 2024-11-09 19:59:07, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:08, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:09, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:10, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:11, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:12, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:13, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:14, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:15, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:16, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:17, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:18, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:19, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:20, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:21, GPIO 17 State: LOW
Time: 2024-11-09 19:59:22, GPIO 17 State: LOW
Time: 2024-11-09 19:59:23, GPIO 17 State: LOW
Time: 2024-11-09 19:59:24, GPIO 17 State: LOW
Time: 2024-11-09 19:59:25, GPIO 17 State: LOW
Time: 2024-11-09 19:59:26, GPIO 17 State: LOW
Time: 2024-11-09 19:59:27, GPIO 17 State: LOW
Time: 2024-11-09 19:59:28, GPIO 17 State: LOW
Time: 2024-11-09 19:59:29, GPIO 17 State: LOW
Time: 2024-11-09 19:59:30, GPIO 17 State: LOW
Time: 2024-11-09 19:59:31, GPIO 17 State: LOW
Time: 2024-11-09 19:59:32, GPIO 17 State: LOW
Time: 2024-11-09 19:59:33, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:34, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:35, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:36, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:37, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:38, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:39, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:40, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:41, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:42, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:43, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:44, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:45, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:46, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:47, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:48, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:49, GPIO 17 State: LOW
Time: 2024-11-09 19:59:50, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:51, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:52, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:53, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:54, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:55, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:56, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:57, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:58, GPIO 17 State: HIGH
Time: 2024-11-09 19:59:59, GPIO 17 State: HIGH
Time: 2024-11-09 20:00:00, GPIO 17 State: HIGH
Time: 2024-11-09 20:00:01, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:27, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:28, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:29, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:30, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:31, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:32, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:33, GPIO 17 State: LOW
Time: 2024-11-09 20:09:34, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:35, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:36, GPIO 17 State: LOW
Time: 2024-11-09 20:09:37, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:38, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:39, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:40, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:41, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:42, GPIO 17 State: HIGH
Time: 2024-11-09 20:09:43, GPIO 17 State: HIGH
